"level0","level1","level2","Number of children born alive","count"
"85 Years And Over","Wellington Central","North Island general electorates","Not Elsewhere Included(2)",36
"15–19 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",234
"20–24 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",201
"25–29 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",174
"30–34 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",144
"35–39 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",147
"40–44 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",213
"45–49 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",198
"50–54 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",174
"55–59 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",174
"60–64 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",165
"65–69 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",138
"70–74 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",150
"75–79 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",96
"80–84 Years","Whanganui","North Island general electorates","Not Elsewhere Included(2)",87
"85 Years And Over","Whanganui","North Island general electorates","Not Elsewhere Included(2)",138
"15–19 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",261
"20–24 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",213
"25–29 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",156
"30–34 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",147
"35–39 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",186
"40–44 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",198
"45–49 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",198
"50–54 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",240
"55–59 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",201
"60–64 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",165
"65–69 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",144
"70–74 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",123
"75–79 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",105
"80–84 Years","Whangarei","North Island general electorates","Not Elsewhere Included(2)",114
"85 Years And Over","Whangarei","North Island general electorates","Not Elsewhere Included(2)",180
"15–19 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",168
"20–24 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",243
"25–29 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",213
"30–34 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",171
"35–39 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",129
"40–44 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",153
"45–49 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",153
"50–54 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",150
"55–59 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",120
"60–64 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",108
"65–69 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",87
"70–74 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",96
"75–79 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",57
"80–84 Years","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",81
"85 Years And Over","Christchurch Central","South Island general electorates","Not Elsewhere Included(2)",153
"15–19 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",189
"20–24 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",174
"25–29 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",171
"30–34 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",150
"35–39 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",174
"40–44 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",165
"45–49 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",186
"50–54 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",174
"55–59 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",168
"60–64 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",144
"65–69 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",102
"70–74 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",81
"75–79 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",63
"80–84 Years","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",75
"85 Years And Over","Christchurch East","South Island general electorates","Not Elsewhere Included(2)",78
"15–19 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",162
"20–24 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",198
"25–29 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",195
"30–34 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",156
"35–39 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",135
"40–44 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",156
"45–49 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",159
"50–54 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",150
"55–59 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",105
"60–64 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",105
"65–69 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",99
"70–74 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",72
"75–79 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",54
"80–84 Years","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",57
"85 Years And Over","Clutha-Southland","South Island general electorates","Not Elsewhere Included(2)",60
"15–19 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",261
"20–24 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",423
"25–29 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",147
"30–34 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",99
"35–39 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",84
"40–44 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",90
"45–49 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",120
"50–54 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",93
"55–59 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",117
"60–64 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",102
"65–69 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",69
"70–74 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",54
"75–79 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",51
"80–84 Years","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",60
"85 Years And Over","Dunedin North","South Island general electorates","Not Elsewhere Included(2)",120
"15–19 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",129
"20–24 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",105
"25–29 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",87
"30–34 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",87
"35–39 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",96
"40–44 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",123
"45–49 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",114
"50–54 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",132
"55–59 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",117
"60–64 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",96
"65–69 Years","Dunedin South","South Island general electorates","Not Elsewhere Included(2)",90
